"author","mean_distance_to_others"
"zweig",1.06901650738703
"kafka",1.04404271152953
"hesse",1.03825171620726
"schnitzler",1.03763789135987
"leppin",1.02321866407708
"meyrink",1.01675418382115
"werfel",1.01241559772321
"rilke",1.00876911769874
"musil",1.00720413398074
"brod",1.00232046191369
"mann",0.982238473804505
