"","brod_1","brod_2","brod_3","brod_4","brod_5","hesse_1","hesse_2","hesse_3","hesse_4","hesse_5","kafka_1","kafka_2","kafka_3","kafka_4","kafka_5","leppin_1","leppin_2","leppin_3","leppin_4","leppin_5","mann_1","mann_2","mann_3","mann_4","mann_5","meyrink_1","meyrink_2","meyrink_3","meyrink_4","meyrink_5","musil_1","musil_2","musil_3","musil_4","musil_5","rilke_1","rilke_2","rilke_3","rilke_4","rilke_5","schnitzler_1","schnitzler_2","schnitzler_3","schnitzler_4","schnitzler_5","werfel_1","werfel_2","werfel_3","werfel_4","werfel_5","zweig_1","zweig_2","zweig_3","zweig_4","zweig_5"
"brod_1",0,0.836565887555209,0.778262353699758,0.844324845848891,0.781342871371914,1.04457450744388,0.992920020820076,0.997690967032369,1.03331508130222,1.01896834678615,0.96411292653992,0.988767026026431,0.985104022145425,0.996742237748231,0.995668820353579,1.07089279086031,1.0908021445884,1.08305966255216,1.06708164257428,1.08000706340898,0.965766475169624,0.967534937429621,1.00760400216953,0.96850302277913,0.932852088401267,0.996520712793582,1.0042274491503,1.01755860653951,1.01135935317028,0.990418865911326,0.970601675049109,0.966526652427723,1.00559914931745,1.00732215844668,0.972818234810221,0.994162300397815,0.992551712106525,0.971284821784031,0.992614589304757,0.982395369225088,1.00106447778944,1.03134473581288,1.04596283385055,1.05630786203482,0.995001666919642,1.01703408738072,1.00188139492913,0.984110775085294,0.993518814268005,1.02453753001975,1.08866713924135,1.08450804533636,1.1176806704222,1.09529602751772,1.10589873257636
"brod_2",0.836565887555209,0,0.793872292481409,0.834748380399539,0.80333643206839,1.05739477791133,1.00957447803977,1.02985068225072,1.00600700458003,1.00737443621916,1.01363102952244,0.982392934580069,0.999974297284053,1.00230887339519,0.968428818091962,1.04831924624334,1.05120660852145,1.09014592000661,1.07102275306601,1.08624067494335,0.916073197097673,0.961988408123426,0.962106777911649,0.92647123250117,0.898252505771388,1.0182025323291,1.00925038763008,1.06513207751013,1.05372734300683,1.0551763120658,0.93251475426255,0.959785320957821,0.979762265954172,0.984943323328468,0.979431305974474,0.970126037460118,1.00099411075705,0.983775912255701,1.00332946356234,1.02246553898585,0.985749418817739,1.02154627056135,1.04732927558788,1.03379106195269,1.00512815157589,1.03981868985896,1.02628804459192,0.99596078155631,1.00821786032528,1.02082911805547,1.07348908402381,1.09477024248119,1.12971008700113,1.11786781531565,1.09532684719451
"brod_3",0.778262353699758,0.793872292481409,0,0.768716838225589,0.782297353030984,1.02726907787479,0.979712200532659,0.957072882114748,0.970514312547122,0.998574388840334,0.953687872401225,0.998338532623432,0.97611465707136,0.96015569945046,0.971956681494813,1.05934655961876,1.04780704685966,1.0509164047468,1.00258787713875,1.06507344190146,0.934074828316968,0.97353540618503,0.945472640905339,0.923333570106122,0.911475416373725,0.982798433118148,1.01804360384165,1.01528595605205,1.01169840173463,0.956722147744429,0.894757255306445,0.93842604700749,0.943589090206271,0.931046598139586,0.920911303634657,0.966037803488479,0.995444522968979,0.947818447929349,0.95385047738248,0.9313924155086,0.977683564752284,1.00955949470912,1.02799313369722,1.03816314443918,1.00448246303875,0.958857965971782,0.996890094952007,0.969924103669698,0.985844533775771,1.00947192900187,1.04490669786154,1.05227103640611,1.0870995330066,1.07270937709033,1.09719620655883
"brod_4",0.844324845848891,0.834748380399539,0.768716838225589,0,0.84643932474523,1.02799220637903,0.977253263529751,0.983746112307793,1.00214866831382,1.00935321339637,0.964973358235341,0.973861836603323,0.971911244414494,0.952741050014354,0.994098173504901,1.03062245852219,1.05145341893212,1.05407164446882,1.04340140567764,1.06603519431702,0.938519454516503,0.980574982093692,0.969641504447163,0.936807766310325,0.959376900116336,0.976347358097315,1.006292293908,1.01246702149423,0.982989428201702,0.971386993959918,0.942674209118088,0.958328715576279,0.98357267550914,0.951528082042582,0.941936649301939,0.974648065756248,1.01165912072892,0.965149822093877,0.968533343506482,0.990892856447063,1.00189218867905,1.00234506078424,1.04526562740344,1.01006277081312,1.03151745046727,1.01330878687366,0.995025319043737,0.993056386054255,0.993802193846512,1.00103449248198,1.02747826277784,1.05452938013475,1.06129900239803,1.10372959609452,1.06738768139411
"brod_5",0.781342871371914,0.80333643206839,0.782297353030984,0.84643932474523,0,1.04746775701875,1.02075593024031,0.987437032578014,0.975545725777146,1.00772011475968,0.973635350540495,0.97015984785947,0.964155133686451,0.969112378378382,0.977918462913972,1.05923464334364,1.07598190791172,1.06955131031237,1.03371409889026,1.07972575086643,0.912903868789246,0.931012619775105,0.934307106704846,0.936593135048103,0.911037230345952,0.980453503839791,1.04059720144167,0.993224472661793,1.00378141569446,1.03262803179548,0.967365184282451,0.900706777675067,0.947954659819013,0.938770897009046,0.916626301764415,0.936712186814668,0.963664777575992,0.964849170983997,0.995316502269111,0.981763778712377,0.986137405779697,1.00126498337297,1.00283990353414,1.033084649518,0.983190902496137,0.988960155958702,0.992717805333386,0.956165690636643,0.986666765924482,0.974206303775892,1.0461775979879,1.04369212050654,1.09756856632014,1.06881742084774,1.06567264641328
"hesse_1",1.04457450744388,1.05739477791133,1.02726907787479,1.02799220637903,1.04746775701875,0,0.812536436029275,0.797637335890145,0.85717362561927,0.848128550010283,1.07137056397301,1.12066416442722,1.06580565271069,1.10029773813409,1.11478769897269,1.09361438745221,1.07605900672133,1.08210642220144,1.11506431910717,1.07952912643538,1.00448262598154,1.02693797176374,1.0244171887456,1.05019893175235,1.01866353228065,1.0399571610498,1.0345051172052,1.07716660499624,1.06865656698991,1.07227077394635,1.02168250566115,1.00742000666269,1.04332179518081,1.02062756494861,1.04756630441943,1.05776635792753,1.07772498448964,1.0406638440912,1.05512345704276,1.04626473549892,1.03592816693521,1.09516026401421,1.1167893417339,1.1123412430898,1.08492499466636,1.01784581928112,1.07828529759075,1.03478970419561,1.0186636928922,1.01636606086052,1.07060548915027,1.10405749595068,1.11138135336186,1.12670697252385,1.1016398736162
"hesse_2",0.992920020820076,1.00957447803977,0.979712200532659,0.977253263529751,1.02075593024031,0.812536436029275,0,0.785475169136176,0.797246692887256,0.809860558422993,1.07193935566646,1.09076375341709,1.06994608654189,1.06728985646918,1.0769031933617,1.05990276722442,1.04931556478245,1.03896617972671,1.04697738283672,1.06081386521918,0.998152810792319,1.00979452679883,0.996957104187464,0.982072143748289,0.98612269046599,0.993585064205571,1.03443261480994,1.0388705445679,1.00945441361798,1.02888744031723,0.998451863324069,0.972072522803404,0.998285175653036,1.0052097959088,1.00010764777262,0.987505800224368,1.01112313247663,0.994345500087706,1.0047655332507,1.0085068138851,0.970057415512994,1.07764010385972,1.08178929023243,1.06350715491306,1.03115491128997,0.965847768835447,0.968867380472467,0.970918846444566,0.968162109108089,0.994879064317193,1.07239692860455,1.08016961302803,1.09914660989464,1.09390884388258,1.09591488465112
"hesse_3",0.997690967032369,1.02985068225072,0.957072882114748,0.983746112307793,0.987437032578014,0.797637335890145,0.785475169136176,0,0.80444478512108,0.807768885611786,1.08020665924555,1.08221598754163,1.09741544003853,1.07709339753853,1.07624343943833,1.11747437106184,1.07606666015953,1.0945627531427,1.11427802547155,1.09726055999116,0.995743527913687,1.00874059716108,1.03921250917208,1.03129462689749,1.0032687585938,1.05070433050272,1.06541140639037,1.0373268490006,1.05329466866427,1.09421023195332,1.03049214441352,1.00300676661309,1.07200495590536,1.02531059423813,1.01365205982994,1.04648936120104,1.07628376420361,0.997781157264713,1.03059454825737,1.02595131898644,1.05515810481985,1.10347955886336,1.12712686885356,1.08993279966418,1.06555660824006,1.00578551641514,1.00299927905266,0.979570924724818,1.01259939977618,1.0052445889575,1.06742397488819,1.08050237784178,1.12058316406714,1.11432456450133,1.10344665420683
"hesse_4",1.03331508130222,1.00600700458003,0.970514312547122,1.00214866831382,0.975545725777146,0.85717362561927,0.797246692887256,0.80444478512108,0,0.813738561185751,1.05818296011821,1.07560229997043,1.04229571260656,1.07798949145824,1.03060199021783,1.04968163835601,1.05683194243469,1.03798131228271,1.0510139425864,1.08031026103968,0.967198404887754,1.02575638092048,0.962988178220049,0.978604706790729,0.967445451682522,1.00555718197213,1.00932247572742,1.04482961943034,0.97719742906531,1.0352505776226,0.998505142196264,0.997509112349476,1.01543211924759,0.957888271360266,0.984680925010766,0.980439549209243,1.0091950909003,1.00064740279002,1.00185120413836,0.999120490663457,1.00534674587643,1.09356119166544,1.06816597480502,1.07672362040192,1.04959139741887,0.992764633543898,0.998171282574714,1.00234018035686,0.981662880800776,0.986902257853151,1.01005896008193,1.0840860679257,1.0820644739688,1.12070784589954,1.06889463626722
"hesse_5",1.01896834678615,1.00737443621916,0.998574388840334,1.00935321339637,1.00772011475968,0.848128550010283,0.809860558422993,0.807768885611786,0.813738561185751,0,1.05302031549487,1.08062649943729,1.05578818917642,1.0591110788558,1.03976206882724,1.09646809458119,1.05427215027948,1.07369109712134,1.06424860658012,1.05309282878381,0.99667102827652,1.01047099931033,0.996508680775895,1.01293430147803,0.999611400153257,1.00327752068759,1.04259579445334,1.01767255810244,1.04686540197661,1.0476579431437,1.00312331185467,0.989560221489761,1.04700377724602,1.01133956209496,1.01813277397445,0.976437013198812,1.03847391704348,0.938600314233902,0.979750651668661,0.974326372218043,1.04157942286475,1.10590768924278,1.0943620373087,1.10204033581619,1.07865818001154,1.00723794580696,1.01559720228838,0.982150094166055,0.999847499296476,0.973346938813909,1.06322130540732,1.06818761689144,1.11008125838963,1.11508140262159,1.09993824159152
