"author","mean_distance_to_kafka"
"mann",0.973845625639625
"brod",0.978798050595191
"rilke",1.00307991582822
"musil",1.01792998156714
"meyrink",1.02530567570082
"werfel",1.03314542348851
"schnitzler",1.06449742641059
"hesse",1.07343694374558
"leppin",1.10484843761745
"zweig",1.16553963470218
