"","brod_1","brod_2","brod_3","brod_4","brod_5","hesse_1","hesse_2","hesse_3","hesse_4","hesse_5","kafka_1","kafka_2","kafka_3","kafka_4","kafka_5","leppin_1","leppin_2","leppin_3","leppin_4","leppin_5","mann_1","mann_2","mann_3","mann_4","mann_5","meyrink_1","meyrink_2","meyrink_3","meyrink_4","meyrink_5","musil_1","musil_2","musil_3","musil_4","musil_5","rilke_1","rilke_2","rilke_3","rilke_4","rilke_5","schnitzler_1","schnitzler_2","schnitzler_3","schnitzler_4","schnitzler_5","werfel_1","werfel_2","werfel_3","werfel_4","werfel_5","zweig_1","zweig_2","zweig_3","zweig_4","zweig_5"
"brod_1",0,0.795895418104412,0.786039503140525,0.823869805714692,0.799095311997454,1.04482348018061,1.01591712906641,0.994166214002233,1.03803666003207,1.05055357537223,0.974859827085848,0.975059675183918,0.974161649305035,1.00360166817075,0.994335597935425,1.0558214520924,1.0378373378014,1.05695759274888,1.05147579286326,1.06038853304898,0.921527348971243,0.938293734653199,0.933561139656371,0.937673468008557,0.91809508525211,1.02543209204149,0.994494940889387,0.997364438006603,1.0164151812106,1.00604952591708,0.929460428546449,0.952399581146744,0.914747072730155,0.937451742485804,0.956546612949297,0.943331993422532,0.949594825381138,0.945236842481639,0.927876646049477,0.888254782311388,1.00968308504258,0.955168343351674,1.01294148925294,0.987029391159401,1.00786862979357,0.992816849419999,0.952722273503685,0.962852568639995,0.922296731155144,0.97620998815363,1.07559035222579,1.09271026464325,1.08812925350182,1.10501475441928,1.02983721937944
"brod_2",0.795895418104412,0,0.774967020725419,0.789358864803997,0.784796776869415,1.00369008996061,1.06218629363848,1.00515027409715,1.03651526892058,1.03192096053915,0.982465903347901,0.96903784560501,1.02309655372569,0.976878451067317,0.973724367166875,1.01676105344761,1.07673595840204,1.05826891107922,1.06400740774215,1.05729135108327,0.939686224235772,0.935284432391372,0.94429370414112,0.958554881362063,0.950071014555515,1.0239037873628,1.02028967993909,0.979309089503782,1.01107505425905,1.02083798159043,0.94373150281494,0.94643330317847,0.979456374807499,0.952683619338752,0.971777804834733,0.973449191344888,0.94291274917948,0.979968999022895,0.976547400859709,0.947013367728455,1.0570861990745,1.00259358756011,1.0331867763924,0.986520760963171,1.03050698274347,0.978391019669681,0.965847390568739,0.985249931626764,0.983903605012541,0.9710348786121,1.04135954848583,1.11099924258607,1.09610522199989,1.06052362795634,1.05662906482337
"brod_3",0.786039503140525,0.774967020725419,0,0.781796235501296,0.808506964512959,0.992757075642018,0.999405054149523,0.993788668799948,0.99327472371911,0.987814843278581,0.99755437303897,0.973374114417653,1.02159278938957,0.99812065605586,0.973322351147263,1.04950267643074,1.04229446703391,1.02272839129325,1.05380478091387,1.04404636596795,0.952279702094032,0.95084613180934,0.931663454676437,0.906299017861159,0.962954539678508,0.984202054385537,0.99860233771236,0.986479774263717,0.990385347131307,0.973546406815303,0.92453901669765,0.916665259657126,0.945937143231207,0.982646923787761,0.947789790156592,0.925837535833783,0.948727994903894,0.956466954632736,0.973491120195321,0.935774361953829,0.978904813325953,0.993436704701711,1.03653472733139,1.02540406822959,1.02551836304735,0.991340120172086,0.975914207415746,0.975852658513309,0.966035686686226,0.9729472735941,1.04812178576325,1.07334718743089,1.09032306842322,1.09870708037367,1.06020468332009
"brod_4",0.823869805714692,0.789358864803997,0.781796235501296,0,0.817243685387419,1.01008860983045,1.02119170630825,1.01969728079039,1.06436322721306,1.0452546540544,0.958471436038104,0.952914017170972,1.05170697822512,1.00188003645212,0.925087175952792,1.07625420892884,1.11340028270389,1.05433322028301,1.10156574432927,1.08890581179967,0.96502725820002,0.96824736045991,0.956653670564381,0.960046497592552,0.944377811260787,1.06408539455242,1.034161934665,1.02314848934287,1.00387153484321,1.01531424931251,0.919880578092575,0.933467238695263,0.959496980097009,0.964046460102958,0.981447874420421,0.980204376349618,0.966327215501973,0.991005121021596,0.971325376374685,0.961699318690962,1.00269835381307,0.975677700992458,1.03319063732823,0.993611736192127,1.00656650004944,1.05673611532977,0.991139937797879,0.999594264638148,1.00173573859542,1.04001730133325,1.07446605351858,1.10871760246575,1.09524012476053,1.10460238099464,1.09016413898758
"brod_5",0.799095311997454,0.784796776869415,0.808506964512959,0.817243685387419,0,1.00496502072914,1.03104234573871,1.00411083197879,1.03986143445356,0.976579052615481,1.01428408581325,0.969174291014202,1.02476105597259,0.994050349917112,0.971927466369047,1.05225806178109,1.06922704884877,1.01155938711098,1.0406856541234,1.02947768050946,0.909458697192812,0.93631922557068,0.905734953939452,0.935656801549278,0.936671930082663,1.00491191158594,1.02624770151528,1.01662785024444,0.990051047443692,0.989760261656295,0.930320394515702,0.938964515129836,0.968562805048179,0.927605583651199,0.971760553231644,0.959556125723713,0.930275493894569,0.928567219823369,0.965573025376599,0.910727702558698,0.989677261293274,0.970430582388025,1.02154335404951,0.992785368063517,0.997852618676091,0.980977478475766,0.949059396384904,0.946198647758677,0.956924431310798,0.919457622442343,1.0482250445869,1.07735188703629,1.08839626929752,1.04491853846616,1.0446443177442
"hesse_1",1.04482348018061,1.00369008996061,0.992757075642018,1.01008860983045,1.00496502072914,0,0.80271734367933,0.795781272773489,0.822110162934195,0.824043569007048,1.09949456492309,1.01530963352916,1.08308876878137,1.08665970252104,1.05245592257826,1.07331396403899,1.07284409079217,1.03667079988219,1.04929021129503,1.05767056572551,0.984366772982089,0.960286674907864,1.01423704276127,0.981369508479842,0.970831856227844,1.01733528086684,1.03478773823301,1.04312746832687,1.01408430755672,1.01097865696165,0.970203475735249,0.975558853705342,1.00882756190523,0.976137765295741,0.998706856328453,1.03746651520292,1.01569749326921,1.01355361323546,0.987384787743315,0.966983514076477,1.06325572306585,1.02016804630726,1.07579817467025,1.06577661055549,1.06590961362462,1.01474746014442,1.00633965110915,0.973899408516883,1.00259829120542,1.01716485833372,1.04873515450198,1.10330095737885,1.10340641726194,1.08954209991844,1.05631068252203
"hesse_2",1.01591712906641,1.06218629363848,0.999405054149523,1.02119170630825,1.03104234573871,0.80271734367933,0,0.837750098575503,0.861773164211509,0.826030976021411,1.064879967842,1.07250110211404,1.10022658256972,1.11371539285795,1.04253665269654,1.0860137250787,1.10839530241244,1.0648513329581,1.06752030259797,1.08441412406898,1.04097814449195,0.981132975872648,1.03139035564371,1.01823157714145,1.04445253802414,1.04627163419053,1.08206742509185,1.05336307781151,1.06319780969396,1.03740046155919,1.02766483212959,1.02832149515258,1.06192473593677,0.998691959947817,1.04624758083168,1.05138838608186,1.02709171784692,1.01588690557611,1.03062771720974,0.974698859980386,1.08312405200069,1.05614192409235,1.11342654585853,1.12434762707237,1.12076907505007,1.01409756988777,0.984614260037115,0.970762752944105,1.00643683597246,1.00359728342844,1.05393004916512,1.10103699403266,1.11755963869658,1.07411905095712,1.04375515258937
"hesse_3",0.994166214002233,1.00515027409715,0.993788668799948,1.01969728079039,1.00411083197879,0.795781272773489,0.837750098575503,0,0.865350969399045,0.821902140914544,1.09244881341207,1.08676215133495,1.12577110188704,1.08768565955922,1.06815400303661,1.08675717285134,1.08405151474336,1.05434587781217,1.0703776320395,1.06234870172209,1.01833170432117,0.961736890362706,1.02234858696468,0.959630272511608,0.988860495271147,1.04129235071191,1.02853861655942,1.0718623302445,1.06998559598917,1.0017271903832,1.00095851288086,1.02384785620142,1.05234621459866,1.024278394695,1.03162073059053,1.01235054719155,1.03354181415321,1.00226725370041,1.02050581985132,0.982203390716424,1.09111584543202,1.05219279020541,1.09054753863787,1.06986561597047,1.06526364308004,1.02457281624123,1.00206899990331,0.990663549129277,0.994244926466422,1.00975772993315,1.05881677141461,1.09424207394514,1.08938864919908,1.08004708781039,1.05669448514189
"hesse_4",1.03803666003207,1.03651526892058,0.99327472371911,1.06436322721306,1.03986143445356,0.822110162934195,0.861773164211509,0.865350969399045,0,0.865372463298068,1.0835110273677,1.07941703854657,1.10364189699733,1.09098121092976,1.09765904749448,1.11843415540682,1.10113787312829,1.08837902523814,1.1028980067535,1.11813789906184,1.04034546704712,1.02179282294121,1.03997864053976,0.988904463218874,1.04173793846024,1.06652873810527,1.10046778963907,1.10664828414161,1.0915565147596,1.05010371753091,1.02875442306173,1.00903879143878,1.05836894723281,1.02843776423445,1.02820367116326,1.04791873298305,1.05781870523665,1.04985212990269,1.0342239676997,1.00747127994476,1.05114010473863,1.07176306470756,1.11546555242706,1.10906226887683,1.09707575380673,1.02561823608727,0.995252929844055,0.994833617511409,1.01704462645106,1.02695829751753,1.07608452256813,1.11310100976491,1.1450375590044,1.08221830738518,1.11195855678346
"hesse_5",1.05055357537223,1.03192096053915,0.987814843278581,1.0452546540544,0.976579052615481,0.824043569007048,0.826030976021411,0.821902140914544,0.865372463298068,0,1.08572325683085,1.08989953097989,1.10993680131156,1.10797627947605,1.07551662467939,1.06578581899502,1.07905404643877,1.07649760087524,1.0731533777387,1.07459107739019,1.05577458411403,1.02379304467683,1.0585152990099,0.992684929020185,1.03436589328431,1.05550153187651,1.08561947025524,1.06493310476562,1.06448898065165,1.07610801534845,1.00965349633844,1.03444051856397,1.10246838955457,1.01321605237533,1.07217042870434,1.02477584133095,1.01163545227474,1.0287896663183,1.00501383081456,1.007799801269,1.02700751359135,1.0570257200298,1.09079676975986,1.08508512864203,1.11551904974971,1.03909644353835,1.01079318484366,0.990160575269194,1.00834902042533,1.00094432494541,1.1130665738116,1.15116309101365,1.13463787515635,1.08022499841464,1.0832044191876
