Source,Target,Weight,Type
schnitzler_5,schnitzler_2,2,undirected
schnitzler_5,schnitzler_3,4,undirected
schnitzler_5,schnitzler_4,3,undirected
werfel_1,werfel_2,1,undirected
werfel_1,werfel_3,4,undirected
werfel_1,werfel_4,2,undirected
werfel_2,werfel_1,1,undirected
werfel_2,werfel_3,1,undirected
werfel_2,werfel_4,4,undirected
werfel_2,werfel_5,5,undirected
werfel_3,werfel_1,4,undirected
werfel_3,werfel_2,1,undirected
werfel_3,werfel_4,3,undirected
werfel_3,werfel_5,4,undirected
werfel_4,werfel_1,2,undirected
werfel_4,werfel_2,4,undirected
werfel_4,werfel_3,3,undirected
werfel_4,werfel_5,6,undirected
werfel_5,werfel_2,5,undirected
werfel_5,werfel_3,4,undirected
werfel_5,werfel_4,6,undirected
zweig_1,zweig_2,6,undirected
zweig_1,zweig_3,3,undirected
zweig_1,zweig_4,1,undirected
zweig_1,zweig_5,4,undirected
zweig_2,zweig_1,6,undirected
zweig_2,zweig_3,2,undirected
zweig_2,zweig_4,5,undirected
zweig_3,zweig_1,3,undirected
zweig_3,zweig_2,2,undirected
zweig_3,zweig_5,6,undirected
zweig_4,zweig_1,1,undirected
zweig_4,zweig_2,5,undirected
zweig_4,zweig_5,3,undirected
zweig_5,zweig_1,4,undirected
zweig_5,zweig_3,6,undirected
zweig_5,zweig_4,3,undirected
