Source,Target,Weight,Type
brod_Arnold_Beer_01,brod_Arnold_Beer_02,6,undirected
brod_Arnold_Beer_01,musil_verwirrungen_01,4,undirected
brod_Arnold_Beer_01,schnitzler_casanova_02,1,undirected
brod_Arnold_Beer_02,brod_Arnold_Beer_01,6,undirected
brod_Arnold_Beer_02,mann_zauberberg_02,2,undirected
brod_Arnold_Beer_02,musil_verwirrungen_01,5,undirected
brod_Arnold_Beer_02,schnitzler_casanova_02,1,undirected
brod_gespenstergeschichte_01,brod_gottin_01,3,undirected
brod_gespenstergeschichte_01,brod_gottin_02,4,undirected
brod_gespenstergeschichte_01,kafka_der_bau_01,1,undirected
brod_gespenstergeschichte_01,mann_zauberberg_03,5,undirected
brod_gespenstergeschichte_01,rilke_aufzeichnungen_01,1,undirected
brod_gottin_01,brod_gespenstergeschichte_01,3,undirected
brod_gottin_01,brod_gottin_02,6,undirected
brod_gottin_01,hesse_steppenwolf_03,1,undirected
brod_gottin_01,kafka_der_bau_01,2,undirected
brod_gottin_02,brod_gespenstergeschichte_01,4,undirected
brod_gottin_02,brod_gottin_01,6,undirected
brod_gottin_02,hesse_steppenwolf_03,1,undirected
brod_gottin_02,kafka_der_bau_01,3,undirected
hesse_siddharta_01,hesse_siddharta_02,6,undirected
hesse_siddharta_01,kafka_landartzt_01,2,undirected
hesse_siddharta_01,mann_venedig_02,1,undirected
hesse_siddharta_01,mann_zauberberg_01,1,undirected
hesse_siddharta_02,hesse_siddharta_01,6,undirected
hesse_siddharta_02,musil_verwirrungen_02,2,undirected
hesse_siddharta_02,musil_verwirrungen_03,1,undirected
hesse_steppenwolf_01,hesse_steppenwolf_02,1,undirected
hesse_steppenwolf_01,hesse_steppenwolf_03,6,undirected
hesse_steppenwolf_01,werfel_ermoredete_01,2,undirected
hesse_steppenwolf_01,werfel_ermoredete_03,1,undirected
hesse_steppenwolf_02,hesse_steppenwolf_01,1,undirected
hesse_steppenwolf_02,kafka_landartzt_01,2,undirected
hesse_steppenwolf_02,schnitzler_casanova_03,3,undirected
hesse_steppenwolf_03,brod_gottin_01,1,undirected
hesse_steppenwolf_03,brod_gottin_02,1,undirected
hesse_steppenwolf_03,hesse_steppenwolf_01,6,undirected
hesse_steppenwolf_03,rilke_aufzeichnungen_02,1,undirected
hesse_steppenwolf_03,werfel_ermoredete_03,3,undirected
kafka_der_bau_01,brod_gespenstergeschichte_01,1,undirected
kafka_der_bau_01,brod_gottin_01,2,undirected
kafka_der_bau_01,brod_gottin_02,3,undirected
kafka_landartzt_01,hesse_siddharta_01,2,undirected
kafka_landartzt_01,hesse_steppenwolf_02,2,undirected
kafka_landartzt_01,kafka_strafkolonie_01,4,undirected
kafka_landartzt_01,mann_zauberberg_01,3,undirected
kafka_landartzt_01,mann_zauberberg_03,1,undirected
kafka_prozess_01,kafka_prozess_02,2,undirected
kafka_prozess_01,kafka_prozess_03,4,undirected
kafka_prozess_01,kafka_prozess_05,1,undirected
kafka_prozess_01,kafka_prozess_06,3,undirected
kafka_prozess_02,kafka_prozess_01,2,undirected
kafka_prozess_02,kafka_prozess_03,5,undirected
kafka_prozess_02,kafka_prozess_06,1,undirected
kafka_prozess_03,kafka_prozess_01,4,undirected
kafka_prozess_03,kafka_prozess_02,5,undirected
kafka_prozess_03,kafka_prozess_04,1,undirected
kafka_prozess_03,kafka_prozess_05,2,undirected
kafka_prozess_03,kafka_prozess_06,5,undirected
kafka_prozess_03,kafka_verwandlung_01,2,undirected
kafka_prozess_04,kafka_prozess_03,1,undirected
kafka_prozess_04,kafka_prozess_05,3,undirected
kafka_prozess_04,kafka_prozess_06,3,undirected
kafka_prozess_04,kafka_strafkolonie_01,2,undirected
kafka_prozess_05,kafka_prozess_01,1,undirected
kafka_prozess_05,kafka_prozess_03,2,undirected
kafka_prozess_05,kafka_prozess_04,3,undirected
kafka_prozess_05,kafka_prozess_06,6,undirected
kafka_prozess_05,kafka_strafkolonie_01,3,undirected
kafka_prozess_05,kafka_verwandlung_01,1,undirected
kafka_prozess_06,kafka_prozess_01,3,undirected
kafka_prozess_06,kafka_prozess_02,1,undirected
kafka_prozess_06,kafka_prozess_03,5,undirected
kafka_prozess_06,kafka_prozess_04,3,undirected
kafka_prozess_06,kafka_prozess_05,6,undirected
kafka_strafkolonie_01,kafka_landartzt_01,4,undirected
kafka_strafkolonie_01,kafka_prozess_04,2,undirected
kafka_strafkolonie_01,kafka_prozess_05,3,undirected
kafka_strafkolonie_01,kafka_verwandlung_01,3,undirected
kafka_verwandlung_01,kafka_prozess_03,2,undirected
kafka_verwandlung_01,kafka_prozess_05,1,undirected
kafka_verwandlung_01,kafka_strafkolonie_01,3,undirected
leppin_Severin_01,leppin_Severin_02,6,undirected
leppin_Severin_01,mann_venedig_01,2,undirected
leppin_Severin_01,mann_venedig_02,3,undirected
leppin_Severin_02,leppin_Severin_01,6,undirected
leppin_Severin_02,mann_venedig_01,2,undirected
leppin_Severin_02,mann_venedig_02,1,undirected
mann_venedig_01,leppin_Severin_01,2,undirected
mann_venedig_01,leppin_Severin_02,2,undirected
mann_venedig_01,mann_venedig_02,6,undirected
mann_venedig_01,schnitzler_casanova_02,2,undirected
mann_venedig_01,zweig_liebe_03,1,undirected
mann_venedig_02,hesse_siddharta_01,1,undirected
mann_venedig_02,leppin_Severin_01,3,undirected
mann_venedig_02,leppin_Severin_02,1,undirected
mann_venedig_02,mann_venedig_01,6,undirected
mann_zauberberg_01,hesse_siddharta_01,1,undirected
mann_zauberberg_01,kafka_landartzt_01,3,undirected
mann_zauberberg_01,mann_zauberberg_02,6,undirected
mann_zauberberg_01,mann_zauberberg_03,5,undirected
mann_zauberberg_02,brod_Arnold_Beer_02,2,undirected
mann_zauberberg_02,mann_zauberberg_01,6,undirected
mann_zauberberg_02,mann_zauberberg_03,2,undirected
mann_zauberberg_03,brod_gespenstergeschichte_01,5,undirected
mann_zauberberg_03,kafka_landartzt_01,1,undirected
mann_zauberberg_03,mann_zauberberg_01,5,undirected
mann_zauberberg_03,mann_zauberberg_02,2,undirected
meyrink_der_golem_01,meyrink_der_golem_02,6,undirected
meyrink_der_golem_01,meyrink_der_golem_03,5,undirected
meyrink_der_golem_01,meyrink_der_golem_04,2,undirected
meyrink_der_golem_01,meyrink_der_golem_05,2,undirected
meyrink_der_golem_01,schnitzler_casanova_02,1,undirected
meyrink_der_golem_02,meyrink_der_golem_01,6,undirected
meyrink_der_golem_02,meyrink_der_golem_03,3,undirected
meyrink_der_golem_02,meyrink_der_golem_05,1,undirected
meyrink_der_golem_02,werfel_ermoredete_02,1,undirected
meyrink_der_golem_03,meyrink_der_golem_01,5,undirected
meyrink_der_golem_03,meyrink_der_golem_02,3,undirected
meyrink_der_golem_03,meyrink_der_golem_04,1,undirected
meyrink_der_golem_03,meyrink_der_golem_05,4,undirected
meyrink_der_golem_04,meyrink_der_golem_01,2,undirected
meyrink_der_golem_04,meyrink_der_golem_03,1,undirected
meyrink_der_golem_04,meyrink_der_golem_05,6,undirected
meyrink_der_golem_05,meyrink_der_golem_01,2,undirected
meyrink_der_golem_05,meyrink_der_golem_02,1,undirected
meyrink_der_golem_05,meyrink_der_golem_03,4,undirected
meyrink_der_golem_05,meyrink_der_golem_04,6,undirected
musil_verwirrungen_01,brod_Arnold_Beer_01,4,undirected
musil_verwirrungen_01,brod_Arnold_Beer_02,5,undirected
musil_verwirrungen_01,musil_verwirrungen_04,1,undirected
musil_verwirrungen_02,hesse_siddharta_02,2,undirected
musil_verwirrungen_02,musil_verwirrungen_03,5,undirected
musil_verwirrungen_02,musil_verwirrungen_04,6,undirected
musil_verwirrungen_02,musil_verwirrungen_05,3,undirected
musil_verwirrungen_02,schnitzler_casanova_01,1,undirected
musil_verwirrungen_03,hesse_siddharta_02,1,undirected
musil_verwirrungen_03,musil_verwirrungen_02,5,undirected
musil_verwirrungen_03,musil_verwirrungen_04,4,undirected
musil_verwirrungen_03,musil_verwirrungen_05,4,undirected
musil_verwirrungen_04,musil_verwirrungen_01,1,undirected
musil_verwirrungen_04,musil_verwirrungen_02,6,undirected
musil_verwirrungen_04,musil_verwirrungen_03,4,undirected
musil_verwirrungen_04,musil_verwirrungen_05,2,undirected
musil_verwirrungen_05,musil_verwirrungen_02,3,undirected
musil_verwirrungen_05,musil_verwirrungen_03,4,undirected
musil_verwirrungen_05,musil_verwirrungen_04,2,undirected
rilke_aufzeichnungen_01,brod_gespenstergeschichte_01,1,undirected
rilke_aufzeichnungen_01,rilke_aufzeichnungen_02,5,undirected
rilke_aufzeichnungen_01,rilke_aufzeichnungen_05,2,undirected
rilke_aufzeichnungen_02,hesse_steppenwolf_03,1,undirected
rilke_aufzeichnungen_02,rilke_aufzeichnungen_01,5,undirected
rilke_aufzeichnungen_02,rilke_aufzeichnungen_03,3,undirected
rilke_aufzeichnungen_02,rilke_aufzeichnungen_04,1,undirected
rilke_aufzeichnungen_02,rilke_aufzeichnungen_05,6,undirected
rilke_aufzeichnungen_03,rilke_aufzeichnungen_02,3,undirected
rilke_aufzeichnungen_03,rilke_aufzeichnungen_04,5,undirected
rilke_aufzeichnungen_03,rilke_aufzeichnungen_05,2,undirected
rilke_aufzeichnungen_04,rilke_aufzeichnungen_02,1,undirected
rilke_aufzeichnungen_04,rilke_aufzeichnungen_03,5,undirected
rilke_aufzeichnungen_04,rilke_aufzeichnungen_05,5,undirected
rilke_aufzeichnungen_05,rilke_aufzeichnungen_01,2,undirected
rilke_aufzeichnungen_05,rilke_aufzeichnungen_02,6,undirected
rilke_aufzeichnungen_05,rilke_aufzeichnungen_03,2,undirected
rilke_aufzeichnungen_05,rilke_aufzeichnungen_04,5,undirected
schnitzler_casanova_01,musil_verwirrungen_02,1,undirected
schnitzler_casanova_01,schnitzler_casanova_02,4,undirected
schnitzler_casanova_01,schnitzler_casanova_03,6,undirected
schnitzler_casanova_02,brod_Arnold_Beer_01,1,undirected
schnitzler_casanova_02,brod_Arnold_Beer_02,1,undirected
schnitzler_casanova_02,mann_venedig_01,2,undirected
schnitzler_casanova_02,meyrink_der_golem_01,1,undirected
schnitzler_casanova_02,schnitzler_casanova_01,4,undirected
schnitzler_casanova_02,schnitzler_casanova_03,5,undirected
schnitzler_casanova_03,hesse_steppenwolf_02,3,undirected
schnitzler_casanova_03,schnitzler_casanova_01,6,undirected
schnitzler_casanova_03,schnitzler_casanova_02,5,undirected
schnitzler_casanova_03,zweig_liebe_03,1,undirected
werfel_ermoredete_01,hesse_steppenwolf_01,2,undirected
werfel_ermoredete_01,werfel_ermoredete_02,5,undirected
werfel_ermoredete_01,werfel_ermoredete_03,4,undirected
werfel_ermoredete_01,zweig_liebe_03,2,undirected
werfel_ermoredete_02,meyrink_der_golem_02,1,undirected
werfel_ermoredete_02,werfel_ermoredete_01,5,undirected
werfel_ermoredete_02,werfel_ermoredete_03,6,undirected
werfel_ermoredete_03,hesse_steppenwolf_01,1,undirected
werfel_ermoredete_03,hesse_steppenwolf_03,3,undirected
werfel_ermoredete_03,werfel_ermoredete_01,4,undirected
werfel_ermoredete_03,werfel_ermoredete_02,6,undirected
zweig_liebe_01,zweig_liebe_02,3,undirected
zweig_liebe_01,zweig_liebe_03,1,undirected
zweig_liebe_01,zweig_liebe_04,5,undirected
zweig_liebe_02,zweig_liebe_01,3,undirected
zweig_liebe_02,zweig_liebe_03,5,undirected
zweig_liebe_02,zweig_liebe_04,6,undirected
zweig_liebe_03,mann_venedig_01,1,undirected
zweig_liebe_03,schnitzler_casanova_03,1,undirected
zweig_liebe_03,werfel_ermoredete_01,2,undirected
zweig_liebe_03,zweig_liebe_01,1,undirected
zweig_liebe_03,zweig_liebe_02,5,undirected
zweig_liebe_03,zweig_liebe_04,3,undirected
zweig_liebe_04,zweig_liebe_01,5,undirected
zweig_liebe_04,zweig_liebe_02,6,undirected
zweig_liebe_04,zweig_liebe_03,3,undirected
